Tópico,Descrição
Origem,O tênis surgiu na Inglaterra no final do século XIX como um esporte de lazer para a classe alta.
Equipamentos,"Raquete, bola, quadra, rede, tênis e roupas adequadas."
Modalidades,Simples (um jogador por lado da quadra) e duplas (dois jogadores por lado da quadra).
Regras,O objetivo do jogo é rebater a bola com a raquete para o lado do oponente de forma que ele não consiga devolvê-la. Os pontos são marcados quando a bola toca o chão no lado do oponente ou quando o oponente comete um erro. O primeiro jogador a alcançar 6 pontos (com uma vantagem de dois pontos) vence o set. O primeiro jogador a vencer dois sets vence a partida.
Tipos de quadras,"Saibro, grama, dura e carpete."
Golpes,"Forehand, backhand, saque, voleio, smash e drop shot."
Benefícios,"Melhora o condicionamento físico, coordenação motora, reflexos, agilidade e força muscular."
Principais jogadores,"Masculino: Novak Djokovic, Rafael Nadal, Roger Federer, Pete Sampras, Björn Borg. Feminino: Serena Williams, Steffi Graf, Martina Navratilova, Margaret Court, Billie Jean King."
Principais competições,"Grand Slams (Australian Open, French Open, Wimbledon e US Open), ATP Finals, WTA Finals, Copa Davis e Fed Cup."
Tênis no Brasil,"O tênis é um esporte popular no Brasil, com diversos jogadores de alto nível competindo no cenário internacional. Os principais nomes do tênis brasileiro são Bruno Soares, Beatriz Haddad Maia e Thomaz Bellucci."
Onde aprender a jogar tênis,Diversos clubes e academias de tênis oferecem aulas para jogadores de todas as idades e níveis.
